"","Surveillance.Network","Season","MMWR.Year","MMWR.Week","Age.group","Sex","Race.Ethnicity","Site","Weekly.Rate","Cumulative.Rate","Week.Ending.Date"
"114","RSV-NET","2021-22",2022,"7","Overall","Overall","Overall","Overall",0.2,16.9,"2022-02-19T00:00:00.000"
"115","RSV-NET","2021-22",2022,"8","Overall","Overall","Overall","Overall",0.2,17,"2022-02-26T00:00:00.000"
"116","RSV-NET","2021-22",2022,"9","Overall","Overall","Overall","Overall",0.1,17.2,"2022-03-05T00:00:00.000"
"117","RSV-NET","2021-22",2022,"10","Overall","Overall","Overall","Overall",0.2,17.4,"2022-03-12T00:00:00.000"
"118","RSV-NET","2021-22",2022,"11","Overall","Overall","Overall","Overall",0.2,17.6,"2022-03-19T00:00:00.000"
"119","RSV-NET","2021-22",2022,"12","Overall","Overall","Overall","Overall",0.1,17.7,"2022-03-26T00:00:00.000"
"120","RSV-NET","2021-22",2022,"13","Overall","Overall","Overall","Overall",0.2,17.8,"2022-04-02T00:00:00.000"
"121","RSV-NET","2021-22",2022,"14","Overall","Overall","Overall","Overall",0.2,18,"2022-04-09T00:00:00.000"
"122","RSV-NET","2021-22",2022,"15","Overall","Overall","Overall","Overall",0.2,18.2,"2022-04-16T00:00:00.000"
"123","RSV-NET","2021-22",2022,"16","Overall","Overall","Overall","Overall",0.2,18.4,"2022-04-23T00:00:00.000"
"124","RSV-NET","2021-22",2022,"17","Overall","Overall","Overall","Overall",0.2,18.7,"2022-04-30T00:00:00.000"
"125","RSV-NET","2021-22",2022,"18","Overall","Overall","Overall","Overall",0.1,18.8,"2022-05-07T00:00:00.000"
"126","RSV-NET","2022-23",2022,"40","Overall","Overall","Overall","Overall",1.5,1.5,"2022-10-08T00:00:00.000"
"127","RSV-NET","2022-23",2022,"41","Overall","Overall","Overall","Overall",2.5,4,"2022-10-15T00:00:00.000"
"128","RSV-NET","2022-23",2022,"42","Overall","Overall","Overall","Overall",2.8,6.8,"2022-10-22T00:00:00.000"
"129","RSV-NET","2022-23",2022,"43","Overall","Overall","Overall","Overall",3.6,10.4,"2022-10-29T00:00:00.000"
"130","RSV-NET","2022-23",2022,"44","Overall","Overall","Overall","Overall",4.5,14.9,"2022-11-05T00:00:00.000"
"131","RSV-NET","2022-23",2022,"45","Overall","Overall","Overall","Overall",5.1,20,"2022-11-12T00:00:00.000"
"132","RSV-NET","2022-23",2022,"46","Overall","Overall","Overall","Overall",4.6,24.7,"2022-11-19T00:00:00.000"
"133","RSV-NET","2022-23",2022,"47","Overall","Overall","Overall","Overall",4.1,28.7,"2022-11-26T00:00:00.000"
"134","RSV-NET","2022-23",2022,"48","Overall","Overall","Overall","Overall",4.2,32.9,"2022-12-03T00:00:00.000"
"135","RSV-NET","2022-23",2022,"49","Overall","Overall","Overall","Overall",3.4,36.3,"2022-12-10T00:00:00.000"
"136","RSV-NET","2022-23",2022,"50","Overall","Overall","Overall","Overall",2.6,38.9,"2022-12-17T00:00:00.000"
"137","RSV-NET","2022-23",2022,"51","Overall","Overall","Overall","Overall",1.8,40.6,"2022-12-24T00:00:00.000"
"138","RSV-NET","2022-23",2022,"52","Overall","Overall","Overall","Overall",1.7,42.3,"2022-12-31T00:00:00.000"
"139","RSV-NET","2022-23",2023,"1","Overall","Overall","Overall","Overall",1.5,43.7,"2023-01-07T00:00:00.000"
"140","RSV-NET","2022-23",2023,"2","Overall","Overall","Overall","Overall",1.1,44.9,"2023-01-14T00:00:00.000"
"141","RSV-NET","2022-23",2023,"3","Overall","Overall","Overall","Overall",0.8,45.7,"2023-01-21T00:00:00.000"
"142","RSV-NET","2022-23",2023,"4","Overall","Overall","Overall","Overall",0.8,46.5,"2023-01-28T00:00:00.000"
"143","RSV-NET","2022-23",2023,"5","Overall","Overall","Overall","Overall",0.5,47,"2023-02-04T00:00:00.000"
"144","RSV-NET","2022-23",2023,"6","Overall","Overall","Overall","Overall",0.5,47.5,"2023-02-11T00:00:00.000"
"145","RSV-NET","2022-23",2023,"7","Overall","Overall","Overall","Overall",0.5,48,"2023-02-18T00:00:00.000"
"146","RSV-NET","2022-23",2023,"8","Overall","Overall","Overall","Overall",0.4,48.4,"2023-02-25T00:00:00.000"
"147","RSV-NET","2022-23",2023,"9","Overall","Overall","Overall","Overall",0.3,48.7,"2023-03-04T00:00:00.000"
"148","RSV-NET","2022-23",2023,"10","Overall","Overall","Overall","Overall",0.3,49,"2023-03-11T00:00:00.000"
"149","RSV-NET","2022-23",2023,"11","Overall","Overall","Overall","Overall",0.3,49.3,"2023-03-18T00:00:00.000"
"150","RSV-NET","2022-23",2023,"12","Overall","Overall","Overall","Overall",0.2,49.5,"2023-03-25T00:00:00.000"
"151","RSV-NET","2022-23",2023,"13","Overall","Overall","Overall","Overall",0.2,49.7,"2023-04-01T00:00:00.000"
"152","RSV-NET","2022-23",2023,"14","Overall","Overall","Overall","Overall",0.1,49.8,"2023-04-08T00:00:00.000"
"153","RSV-NET","2022-23",2023,"15","Overall","Overall","Overall","Overall",0.1,49.9,"2023-04-15T00:00:00.000"
"154","RSV-NET","2022-23",2023,"16","Overall","Overall","Overall","Overall",0.1,50,"2023-04-22T00:00:00.000"
"155","RSV-NET","2022-23",2023,"17","Overall","Overall","Overall","Overall",0.1,50.1,"2023-04-29T00:00:00.000"
"156","RSV-NET","2022-23",2023,"18","Overall","Overall","Overall","Overall",0.1,50.2,"2023-05-06T00:00:00.000"
"157","RSV-NET","2023-24",2023,"40","Overall","Overall","Overall","Overall",0.8,0.8,"2023-10-07T00:00:00.000"
"158","RSV-NET","2023-24",2023,"41","Overall","Overall","Overall","Overall",1,1.8,"2023-10-14T00:00:00.000"
"159","RSV-NET","2023-24",2023,"42","Overall","Overall","Overall","Overall",1.2,3,"2023-10-21T00:00:00.000"
"160","RSV-NET","2023-24",2023,"43","Overall","Overall","Overall","Overall",1.3,4.3,"2023-10-28T00:00:00.000"
"161","RSV-NET","2023-24",2023,"44","Overall","Overall","Overall","Overall",1.5,5.8,"2023-11-04T00:00:00.000"
"162","RSV-NET","2023-24",2023,"45","Overall","Overall","Overall","Overall",2.1,7.9,"2023-11-11T00:00:00.000"
"163","RSV-NET","2023-24",2023,"46","Overall","Overall","Overall","Overall",2.4,10.4,"2023-11-18T00:00:00.000"
"164","RSV-NET","2023-24",2023,"47","Overall","Overall","Overall","Overall",2.6,13,"2023-11-25T00:00:00.000"
"165","RSV-NET","2023-24",2023,"48","Overall","Overall","Overall","Overall",3.4,16.4,"2023-12-02T00:00:00.000"
"166","RSV-NET","2023-24",2023,"49","Overall","Overall","Overall","Overall",3.5,19.8,"2023-12-09T00:00:00.000"
"167","RSV-NET","2023-24",2023,"50","Overall","Overall","Overall","Overall",3.6,23.5,"2023-12-16T00:00:00.000"
"168","RSV-NET","2023-24",2023,"51","Overall","Overall","Overall","Overall",3.9,27.3,"2023-12-23T00:00:00.000"
"169","RSV-NET","2023-24",2023,"52","Overall","Overall","Overall","Overall",4,31.3,"2023-12-30T00:00:00.000"
"170","RSV-NET","2023-24",2024,"1","Overall","Overall","Overall","Overall",3.6,34.9,"2024-01-06T00:00:00.000"
"171","RSV-NET","2023-24",2024,"2","Overall","Overall","Overall","Overall",2.6,37.5,"2024-01-13T00:00:00.000"
"172","RSV-NET","2023-24",2024,"3","Overall","Overall","Overall","Overall",2.3,39.8,"2024-01-20T00:00:00.000"
"173","RSV-NET","2023-24",2024,"4","Overall","Overall","Overall","Overall",1.9,41.7,"2024-01-27T00:00:00.000"
"174","RSV-NET","2023-24",2024,"5","Overall","Overall","Overall","Overall",1.2,43,"2024-02-03T00:00:00.000"
