"","Surveillance.Network","Season","MMWR.Year","MMWR.Week","Age.group","Sex","Race.Ethnicity","Site","Weekly.Rate","Cumulative.Rate","Week.Ending.Date"
"80","FluSurv-NET","2020-21",2021,"4","Overall","Overall","Overall","Overall",0,0.6,"2021-01-30T00:00:00.000"
"81","FluSurv-NET","2020-21",2021,"5","Overall","Overall","Overall","Overall",0,0.6,"2021-02-06T00:00:00.000"
"82","FluSurv-NET","2020-21",2021,"6","Overall","Overall","Overall","Overall",0,0.6,"2021-02-13T00:00:00.000"
"83","FluSurv-NET","2020-21",2021,"7","Overall","Overall","Overall","Overall",0,0.7,"2021-02-20T00:00:00.000"
"84","FluSurv-NET","2020-21",2021,"8","Overall","Overall","Overall","Overall",0,0.7,"2021-02-27T00:00:00.000"
"85","FluSurv-NET","2020-21",2021,"9","Overall","Overall","Overall","Overall",0,0.7,"2021-03-06T00:00:00.000"
"86","FluSurv-NET","2020-21",2021,"10","Overall","Overall","Overall","Overall",0,0.7,"2021-03-13T00:00:00.000"
"87","FluSurv-NET","2020-21",2021,"11","Overall","Overall","Overall","Overall",0,0.7,"2021-03-20T00:00:00.000"
"88","FluSurv-NET","2020-21",2021,"12","Overall","Overall","Overall","Overall",0,0.7,"2021-03-27T00:00:00.000"
"89","FluSurv-NET","2020-21",2021,"13","Overall","Overall","Overall","Overall",0,0.8,"2021-04-03T00:00:00.000"
"90","FluSurv-NET","2020-21",2021,"14","Overall","Overall","Overall","Overall",0,0.8,"2021-04-10T00:00:00.000"
"91","FluSurv-NET","2020-21",2021,"15","Overall","Overall","Overall","Overall",0,0.8,"2021-04-17T00:00:00.000"
"92","FluSurv-NET","2020-21",2021,"16","Overall","Overall","Overall","Overall",0,0.8,"2021-04-24T00:00:00.000"
"93","FluSurv-NET","2020-21",2021,"17","Overall","Overall","Overall","Overall",0,0.8,"2021-05-01T00:00:00.000"
"94","FluSurv-NET","2021-22",2021,"40","Overall","Overall","Overall","Overall",0,0,"2021-10-09T00:00:00.000"
"95","FluSurv-NET","2021-22",2021,"41","Overall","Overall","Overall","Overall",0,0.1,"2021-10-16T00:00:00.000"
"96","FluSurv-NET","2021-22",2021,"42","Overall","Overall","Overall","Overall",0,0.1,"2021-10-23T00:00:00.000"
"97","FluSurv-NET","2021-22",2021,"43","Overall","Overall","Overall","Overall",0,0.1,"2021-10-30T00:00:00.000"
"98","FluSurv-NET","2021-22",2021,"44","Overall","Overall","Overall","Overall",0,0.1,"2021-11-06T00:00:00.000"
"99","FluSurv-NET","2021-22",2021,"45","Overall","Overall","Overall","Overall",0.1,0.2,"2021-11-13T00:00:00.000"
"100","FluSurv-NET","2021-22",2021,"46","Overall","Overall","Overall","Overall",0.1,0.3,"2021-11-20T00:00:00.000"
"101","FluSurv-NET","2021-22",2021,"47","Overall","Overall","Overall","Overall",0.2,0.4,"2021-11-27T00:00:00.000"
"102","FluSurv-NET","2021-22",2021,"48","Overall","Overall","Overall","Overall",0.3,0.7,"2021-12-04T00:00:00.000"
"103","FluSurv-NET","2021-22",2021,"49","Overall","Overall","Overall","Overall",0.4,1.1,"2021-12-11T00:00:00.000"
"104","FluSurv-NET","2021-22",2021,"50","Overall","Overall","Overall","Overall",0.6,1.7,"2021-12-18T00:00:00.000"
"105","FluSurv-NET","2021-22",2021,"51","Overall","Overall","Overall","Overall",0.7,2.4,"2021-12-25T00:00:00.000"
"106","FluSurv-NET","2021-22",2021,"52","Overall","Overall","Overall","Overall",1,3.4,"2022-01-01T00:00:00.000"
"107","FluSurv-NET","2021-22",2022,"1","Overall","Overall","Overall","Overall",0.6,4,"2022-01-08T00:00:00.000"
"108","FluSurv-NET","2021-22",2022,"2","Overall","Overall","Overall","Overall",0.4,4.4,"2022-01-15T00:00:00.000"
"109","FluSurv-NET","2021-22",2022,"3","Overall","Overall","Overall","Overall",0.3,4.7,"2022-01-22T00:00:00.000"
"110","FluSurv-NET","2021-22",2022,"4","Overall","Overall","Overall","Overall",0.2,4.8,"2022-01-29T00:00:00.000"
"111","FluSurv-NET","2021-22",2022,"5","Overall","Overall","Overall","Overall",0.2,5,"2022-02-05T00:00:00.000"
"112","FluSurv-NET","2021-22",2022,"6","Overall","Overall","Overall","Overall",0.2,5.2,"2022-02-12T00:00:00.000"
"113","FluSurv-NET","2021-22",2022,"7","Overall","Overall","Overall","Overall",0.2,5.4,"2022-02-19T00:00:00.000"
"114","FluSurv-NET","2021-22",2022,"8","Overall","Overall","Overall","Overall",0.3,5.7,"2022-02-26T00:00:00.000"
"115","FluSurv-NET","2021-22",2022,"9","Overall","Overall","Overall","Overall",0.3,6,"2022-03-05T00:00:00.000"
"116","FluSurv-NET","2021-22",2022,"10","Overall","Overall","Overall","Overall",0.4,6.5,"2022-03-12T00:00:00.000"
"117","FluSurv-NET","2021-22",2022,"11","Overall","Overall","Overall","Overall",0.6,7.1,"2022-03-19T00:00:00.000"
"118","FluSurv-NET","2021-22",2022,"12","Overall","Overall","Overall","Overall",0.7,7.8,"2022-03-26T00:00:00.000"
"119","FluSurv-NET","2021-22",2022,"13","Overall","Overall","Overall","Overall",0.9,8.7,"2022-04-02T00:00:00.000"
"120","FluSurv-NET","2021-22",2022,"14","Overall","Overall","Overall","Overall",1.1,9.8,"2022-04-09T00:00:00.000"
"121","FluSurv-NET","2021-22",2022,"15","Overall","Overall","Overall","Overall",1.1,10.9,"2022-04-16T00:00:00.000"
"122","FluSurv-NET","2021-22",2022,"16","Overall","Overall","Overall","Overall",1.2,12,"2022-04-23T00:00:00.000"
"123","FluSurv-NET","2021-22",2022,"17","Overall","Overall","Overall","Overall",1.2,13.3,"2022-04-30T00:00:00.000"
"124","FluSurv-NET","2021-22",2022,"18","Overall","Overall","Overall","Overall",1.1,14.3,"2022-05-07T00:00:00.000"
"125","FluSurv-NET","2022-23",2022,"40","Overall","Overall","Overall","Overall",0.4,0.4,"2022-10-08T00:00:00.000"
"126","FluSurv-NET","2022-23",2022,"41","Overall","Overall","Overall","Overall",0.6,1,"2022-10-15T00:00:00.000"
"127","FluSurv-NET","2022-23",2022,"42","Overall","Overall","Overall","Overall",0.9,1.9,"2022-10-22T00:00:00.000"
"128","FluSurv-NET","2022-23",2022,"43","Overall","Overall","Overall","Overall",1.7,3.6,"2022-10-29T00:00:00.000"
"129","FluSurv-NET","2022-23",2022,"44","Overall","Overall","Overall","Overall",2.5,6.1,"2022-11-05T00:00:00.000"
"130","FluSurv-NET","2022-23",2022,"45","Overall","Overall","Overall","Overall",3.2,9.3,"2022-11-12T00:00:00.000"
"131","FluSurv-NET","2022-23",2022,"46","Overall","Overall","Overall","Overall",3.9,13.2,"2022-11-19T00:00:00.000"
"132","FluSurv-NET","2022-23",2022,"47","Overall","Overall","Overall","Overall",6.9,20.1,"2022-11-26T00:00:00.000"
"133","FluSurv-NET","2022-23",2022,"48","Overall","Overall","Overall","Overall",8.7,28.8,"2022-12-03T00:00:00.000"
"134","FluSurv-NET","2022-23",2022,"49","Overall","Overall","Overall","Overall",7.3,36.1,"2022-12-10T00:00:00.000"
"135","FluSurv-NET","2022-23",2022,"50","Overall","Overall","Overall","Overall",6.4,42.4,"2022-12-17T00:00:00.000"
"136","FluSurv-NET","2022-23",2022,"51","Overall","Overall","Overall","Overall",5.6,48,"2022-12-24T00:00:00.000"
"137","FluSurv-NET","2022-23",2022,"52","Overall","Overall","Overall","Overall",5.2,53.2,"2022-12-31T00:00:00.000"
"138","FluSurv-NET","2022-23",2023,"1","Overall","Overall","Overall","Overall",3,56.1,"2023-01-07T00:00:00.000"
